P_NAME,P_DETECTION,P_DISCOVERY_FACILITY,P_YEAR,P_UPDATE,P_MASS,P_MASS_ORIGIN,P_RADIUS,P_PERIOD,P_SEMI_MAJOR_AXIS,P_ECCENTRICITY,P_INCLINATION,P_OMEGA,S_NAME,S_NAME_HD,S_NAME_HIP,S_TYPE,S_RA,S_DEC,S_RA_STR,S_DEC_STR,S_MAG,S_DISTANCE,S_TEMPERATURE,S_MASS,S_RADIUS,S_METALLICITY,S_AGE,S_LOG_LUM,S_LOG_G,P_ESCAPE,P_POTENTIAL,P_GRAVITY,P_DENSITY,P_HILL_SPHERE,P_DISTANCE,P_PERIASTRON,P_APASTRON,P_DISTANCE_EFF,P_FLUX,P_TEMP_EQUIL,P_TEMP_SURF,P_TYPE,S_TYPE_TEMP,S_RA_TXT,S_DEC_TXT,S_LUMINOSITY,S_SNOW_LINE,S_ABIO_ZONE,S_TIDAL_LOCK,P_HABZONE_OPT,P_HABZONE_CON,P_TYPE_TEMP,P_HABITABLE,S_CONSTELLATION,S_CONSTELLATION_ABR,S_CONSTELLATION_ENG
WASP-82 b,Transit,SuperWASP,2015,2024-03-04,371.8611,Mass,18.159,2.70579,0.0447,0.0,87.9,,WASP-82,,,F5,72.660592,1.8938365,04h50m38.54s,+01d53m37.81s,10.073,275.664,6480.0,1.48,2.1,0.12,,0.794,3.96,4.5252691,20.47806,1.1277086,0.062101911,0.0028214073,0.0447,0.0447,0.0447,0.0447,3114.4758,1903.0314,,Jovian,F,04 50 38.54,+01 53 37.81,6.2230029,6.7354058,7.7222821,0.52574082,0,0,Hot,0,Orion,Ori,Hunter
WASP-36 b,Transit,SuperWASP,2011,2024-03-04,750.39663,Mass,14.874,1.537366,0.02677,0.019,83.15,,WASP-36,,,,131.58039,-8.0269855,08h46m19.29s,-08d01m37.15s,12.836,386.346,5959.0,1.08,0.99,-0.26,1.4,0.001,4.49,7.1028321,50.450224,3.3918397,0.22803817,0.0023266176,0.026774832,0.02626137,0.02727863,0.026771208,1398.8839,1557.8144,,Jovian,G,08 46 19.29,-08 01 37.15,1.0023052,2.7031103,2.8405704,0.38819871,0,0,Hot,0,Hydra,Hya,Water Snake
WASP-15 b,Transit,SuperWASP,2009,2024-03-04,171.6282,Mass,15.805,3.7521,0.05165,0.0,85.96,240.0,WASP-15,,,F7,208.92801,-32.159712,13h55m42.72s,-32d09m34.96s,10.972,282.091,6300.0,1.18,1.48,-0.17,2.4,0.49,4.35,3.2953161,10.859108,0.68706788,0.043471552,0.0027170093,0.05165,0.05165,0.05165,0.05165,1158.4021,1486.1565,,Jovian,F,13 55 42.72,-32 09 34.96,3.0902954,4.7463938,5.2559496,0.43740866,0,0,Hot,0,Centaurus,Cen,Centaur
TOI-451 c,Transit,Transiting Exoplanet Survey Satellite (TESS),2020,2024-03-04,9.8,M-R relationship,3.1,9.192522,0.0823,0.0,89.61,0.0,TOI-451,,,,62.966385,-37.93973,04h11m51.93s,-37d56m23.03s,10.939,123.739,5550.0,0.95,0.88,,0.12,-0.189,4.56,1.7780018,3.1612903,1.0197711,0.32895841,0.0017920601,0.0823,0.0823,0.0823,0.0823,95.54332,796.434,,Neptunian,G,04 11 51.93,-37 56 23.03,0.64714262,2.1720197,1.3479587,0.24698064,0,0,Hot,0,Eridanus,Eri,River
HAT-P-2 c,Radial Velocity,Multiple Observatories,2023,2023-10-09,3400.764,Mass,12.4,8500.0,8.9620237,0.37,90.0,38.0,HAT-P-2,HD 147506,HIP 80076,F8,245.15143,41.04796,16h20m36.34s,+41d02m52.66s,8.72,127.774,6412.0,1.33,1.42,0.054,1.44,0.64,4.16,16.560651,274.25516,22.117351,1.7836574,0.77227771,9.5754742,5.6460749,12.277972,9.1227568,0.058500189,121.90925,,Jovian,F,16 20 36.34,+41 02 52.66,4.3651583,5.6410996,6.6303983,0.41805729,0,0,Cold,0,Hercules,Her,Hercules
WASP-181 b,Transit,SuperWASP,2019,2024-03-04,95.03117,Mass,13.271,4.5195064,0.05427,,88.38,,WASP-181,,,G2,26.793225,3.1329325,01h47m10.37s,+03d07m58.56s,12.924,437.495,5839.0,1.04,0.97,0.09,2.5,0.049,4.49,2.6759698,7.1608146,0.53958365,0.040658854,0.0024450588,0.05427,0.05427,0.05427,0.05427,380.08467,1124.7857,,Jovian,G,01 47 10.37,+03 07 58.56,1.1194379,2.8566943,2.282485,0.42223991,0,0,Hot,0,Pisces,Psc,Fishes
TOI-451 d,Transit,Transiting Exoplanet Survey Satellite (TESS),2020,2024-03-04,15.6,M-R relationship,4.07,16.364988,0.1208,0.0,89.25,0.0,TOI-451,,,,62.966385,-37.93973,04h11m51.93s,-37d56m23.03s,10.939,123.739,5550.0,0.95,0.88,,0.12,-0.189,4.56,1.9577854,3.8329238,0.94175033,0.23138829,0.0030712784,0.1208,0.1208,0.1208,0.1208,44.347193,657.37963,,Neptunian,G,04 11 51.93,-37 56 23.03,0.64714262,2.1720197,1.3479587,0.24698064,0,0,Hot,0,Eridanus,Eri,River
WASP-133 b,Transit,SuperWASP-South,2016,2024-03-04,368.6828,Mass,13.563,2.176423,0.0345,0.17,87.0,,WASP-133,,,G4,314.57544,-35.796622,20h58m18.11s,-35d47m47.84s,12.891,559.084,5700.0,1.16,1.44,0.29,6.8,0.305,4.18,5.2137302,27.182983,2.0042014,0.14776977,0.0019547028,0.034998525,0.028635,0.040365,0.034625829,1720.7978,1631.735,,Jovian,G,20 58 18.11,-35 47 47.84,2.0183664,3.835869,1.8642568,0.51736334,0,0,Hot,0,Microscopium,Mic,Microscope
55 Cnc e,Radial Velocity,McDonald Observatory,2004,2024-03-04,7.99,Mass,1.875,0.7365474,0.01544,0.05,83.59,86.0,55 Cnc,HD 75732,HIP 43587,G8 V,133.14684,28.329815,08h52m35.24s,+28d19m47.34s,5.95084,12.5855,5172.0,0.91,0.94,0.35,10.2,-0.197,4.43,2.0642997,4.2613333,2.2727111,1.2121126,0.00030268526,0.0154593,0.014668,0.016212,0.015444829,2668.3879,1830.0298,2066.7311,Superterran,G,08 52 35.24,+28 19 47.34,0.63533093,2.1521065,0.69409129,0.51051127,0,0,Hot,0,Cancer,Cnc,Crab
HAT-P-69 b,Transit,HATNet,2019,2024-03-04,1137.8314,Mass,18.786,4.7869491,0.06555,0.0,87.19,,HAT-P-69,,,,130.50564,3.7105662,08h42m01.35s,+03d42m38.04s,9.774,341.263,7394.0,1.65,1.93,-0.069,1.27,1.0,4.11,7.7825478,60.568051,3.2241058,0.17162279,0.0057928098,0.06555,0.06555,0.06555,0.06555,2327.312,1769.3484,,Jovian,A,08 42 01.35,+03 42 38.04,10.0,8.5381497,38.498005,0.43989947,0,0,Hot,0,Hydra,Hya,Water Snake
HAT-P-1 b,Transit,HATNet,2006,2024-03-04,166.86075,Mass,14.785,4.4652998,0.05561,0.0,85.634,253.1,HAT-P-1,,,G0 V,344.44536,38.674919,22h57m46.89s,+38d40m29.71s,9.827,158.979,5980.0,1.15,1.17,0.13,3.6,0.225,4.36,3.3594365,11.285813,0.7633286,0.051628583,0.0029229649,0.05561,0.05561,0.05561,0.05561,542.86796,1229.6266,,Jovian,G,22 57 46.89,+38 40 29.71,1.678804,3.4983541,3.0072213,0.4639892,0,0,Hot,0,Lacerta,Lac,Lizard
WASP-24 b,Transit,SuperWASP,2010,2024-03-04,394.1092,Mass,15.468,2.34121,0.03651,0.0,83.64,70.0,WASP-24,,,,227.2155,2.343286,15h08m51.72s,+02d20m35.83s,11.219,322.114,6075.0,1.43,1.42,0.0,3.8,0.331,4.26,5.0476729,25.479002,1.6472073,0.10649129,0.0023766064,0.03651,0.03651,0.03651,0.03651,1607.5938,1613.035,,Jovian,F,15 08 51.72,+02 20 35.83,2.1428906,3.9524262,3.8070858,0.50346287,0,0,Hot,0,Virgo,Vir,Virgin
WASP-41 c,Radial Velocity,La Silla Observatory,2015,2015-10-07,1010.6994,Msini,13.1,421.0,1.07,0.294,,353.0,WASP-41,,,,190.6188,-30.639818,12h42m28.51s,-30d38m23.34s,11.632,163.371,5545.0,0.93,0.87,0.06,1.2,-0.195,4.53,8.7836568,77.152626,5.8895134,0.44958118,0.077687906,1.1162433,0.75542,1.38458,1.0819027,0.58326102,218.90496,,Jovian,G,12 42 28.51,-30 38 23.34,0.63826349,2.1570676,1.3269843,0.35995595,1,1,Warm,0,Centaurus,Cen,Centaur
HAT-P-2 b,Transit,HATNet,2007,2024-03-04,2866.8122,Mass,12.663,5.6335158,0.06814,0.5172,86.16,188.01,HAT-P-2,HD 147506,HIP 80076,F8,245.15143,41.04796,16h20m36.34s,+41d02m52.66s,8.72,127.774,6380.0,1.33,1.39,0.18,1.44,0.53,4.16,15.046356,226.39282,17.878292,1.4118528,0.0042507984,0.077253583,0.032897992,0.10338201,0.070648162,852.68907,1300.3171,,Jovian,F,16 20 36.34,+41 02 52.66,3.3884416,4.9700844,6.2757241,0.41805729,0,0,Hot,0,Hercules,Her,Hercules
KELT-8 b,Transit,KELT,2015,2024-03-04,209.7678,Mass,18.159,3.24406,0.0455,0.04,82.65,85.0,KELT-8,HD 343246,,G2 V,283.30545,24.127248,18h53m13.31s,+24d07m38.09s,10.845,197.572,5754.0,0.81,1.46,0.27,5.4,0.265,4.08,3.3987831,11.551726,0.63614331,0.035031847,0.0027849612,0.0455364,0.04368,0.04732,0.045509105,889.86663,1390.9149,,Jovian,G,18 53 13.31,+24 07 38.09,1.840772,3.6632264,1.8147012,0.44169126,0,0,Hot,0,Hercules,Her,Hercules
HAT-P-36 b,Transit,HATNet,2011,2024-03-04,587.41341,Mass,14.314,1.3273468,0.0241,0.063,87.13,51.0,HAT-P-36,,,G5 V,188.2662,44.915367,12h33m03.89s,+44d54m55.32s,12.146,294.419,5620.0,1.03,1.04,0.25,6.6,0.022,4.42,6.4060662,41.037684,2.8669613,0.20029072,0.001873171,0.024147826,0.0225817,0.0256183,0.024111972,1814.803,1661.435,,Jovian,G,12 33 03.89,+44 54 55.32,1.0519619,2.7692602,1.5617423,0.49479796,0,0,Hot,0,Canes Venatici,CVn,Hunting Dogs
WASP-5 b,Transit,SuperWASP,2008,2024-03-04,502.15,Mass,12.184,1.6284279,0.0267,0.038,86.9,34.38,WASP-5,,,G5,359.34903,-41.27722,23h57m23.77s,-41d16m37.99s,12.147,309.137,5700.0,0.96,1.03,0.09,5.4,0.067,4.4,6.4198043,41.213887,3.3826237,0.27762834,0.0020701048,0.026719277,0.0256854,0.0277146,0.026704822,1637.9146,1620.1487,,Jovian,G,23 57 23.77,-41 16 37.99,1.1668096,2.916512,1.7502906,0.46742745,0,0,Hot,0,Phoenix,Phe,Phoenix
HATS-24 b,Transit,HATSouth,2017,2024-03-04,718.2958,Mass,15.637,1.3484978,0.0238,0.0,85.97,90.0,HATS-24,,,F V,268.89071,-61.7474,17h55m33.77s,-61d44m50.64s,12.915,494.182,6125.0,1.07,1.12,-0.229,3.7,0.19,4.37,6.7775846,45.935653,2.9376257,0.18786376,0.0020845007,0.0238,0.0238,0.0238,0.0238,2734.2995,1842.0916,,Jovian,F,17 55 33.77,-61 44 50.64,1.5488166,3.3601895,3.7662962,0.45504364,0,0,Hot,0,Pavo,Pav,Peacock
TOI-564 b,Transit,Transiting Exoplanet Survey Satellite (TESS),2020,2024-03-04,464.98529,Mass,11.433,1.651144,0.02734,0.072,78.38,94.0,TOI-564,,,,130.29515,-16.036327,08h41m10.84s,-16d02m10.78s,11.097,199.581,5640.0,1.0,1.09,0.143,7.3,0.033,4.36,6.377339,40.670453,3.5572862,0.31114197,0.0019661266,0.027410865,0.02537152,0.02930848,0.027357747,1447.2101,1569.6743,,Jovian,G,08 41 10.84,-16 02 10.78,1.0789467,2.8045537,1.6004889,0.49824771,0,0,Hot,0,Hydra,Hya,Water Snake
HATS-30 b,Transit,HATSouth,2016,2024-03-04,224.38798,Mass,13.171,3.1743516,0.04354,0.096,86.84,,HATS-30,,,G,5.618525,-59.942589,00h22m28.45s,-59d56m33.32s,12.283,342.14,5943.0,1.09,1.06,0.06,2.3,0.097,4.42,4.1275317,17.036518,1.2934871,0.098207202,0.0023246976,0.043740632,0.03936016,0.04771984,0.04359031,662.57288,1290.1931,,Jovian,G,00 22 28.45,-59 56 33.32,1.250259,3.0190045,2.7720554,0.42298176,0,0,Hot,0,Tucana,Tuc,Toucan
HAT-P-12 b,Transit,HATNet,2009,2024-03-04,67.059,Mass,10.749,3.2130598,0.0384,0.0,89.0,354.3,HAT-P-12,,,K4,209.38865,43.49331,13h57m33.27s,+43d29m35.92s,12.665,142.751,4650.0,0.73,0.7,-0.29,2.5,-0.678,4.61,2.4977243,6.2386268,0.58039137,0.053994918,0.001733117,0.0384,0.0384,0.0384,0.0384,142.34347,879.90158,,Jovian,K,13 57 33.27,+43 29 35.92,0.20989399,1.2369831,0.26304911,0.37525152,0,0,Hot,0,Canes Venatici,CVn,Hunting Dogs
TOI-481 b,Transit,Transiting Exoplanet Survey Satellite (TESS),2020,2024-03-04,486.2799,Mass,11.097,10.33111,0.097,0.153,89.2,64.8,TOI-481,,,G,110.51269,-57.384998,07h22m03.04s,-57d23m05.99s,9.972,179.366,5735.0,1.14,1.66,0.26,6.7,0.435,4.06,6.6197314,43.820843,3.948891,0.35585212,0.0061863461,0.098135337,0.082159,0.111841,0.097286039,292.81962,1049.1183,,Jovian,G,07 22 03.04,-57 23 05.99,2.7227013,4.4551647,1.9683493,0.51310422,0,0,Hot,0,Carina,Car,Keel
Kepler-435 b,Transit,Kepler,2015,2024-03-04,266.97,Mass,22.31,8.6001536,0.0948,0.114,85.51,104.0,Kepler-435,,,,292.2873,43.197254,19h29m08.95s,+43d11m50.12s,13.704,1418.77,6161.0,1.54,3.21,-0.18,2.25,1.129,3.61,3.459246,11.966383,0.53636857,0.024041621,0.004684622,0.09541601,0.0839928,0.1056072,0.094954663,1507.3839,1583.4034,,Jovian,F,19 29 08.95,+43 11 50.12,13.458604,9.9052117,4.5236296,0.47289222,0,0,Hot,0,Cygnus,Cyg,Swan
K2-136 d,Transit,K2,2017,2023-04-10,3.0,Mass,1.565,25.575,0.1538,0.071,89.4,280.0,K2-136,,,K5.5,67.412862,22.882567,04h29m39.09s,+22d52m57.24s,11.101,59.2474,4500.0,0.74,0.68,-0.02,0.65,-0.777,4.68,1.3845335,1.9169329,1.2248773,0.78266917,0.0022788749,0.15418765,0.1428802,0.1647198,0.15389707,7.0824699,415.17819,468.87852,Terran,K,04 29 39.09,+22 52 57.24,0.16710906,1.1037323,0.20421553,0.3011533,0,0,Hot,0,Taurus,Tau,Bull
HD 149026 b,Radial Velocity,Subaru Telescope,2005,2024-03-04,120.7754,Mass,8.295,2.87589,0.04364,0.0,84.55,109.0,HD 149026,HD 149026,HIP 80838,G0,247.62298,38.347535,16h30m29.52s,+38d20m51.13s,8.15,75.8643,6179.0,1.42,1.41,0.32,2.6,0.48,4.37,3.81576,14.560024,1.7552772,0.21160665,0.0019197,0.04364,0.04364,0.04364,0.04364,1585.7347,1607.5235,,Jovian,G,16 30 29.52,+38 20 51.13,3.0199517,4.6920622,4.5412251,0.47150161,0,0,Hot,0,Hercules,Her,Hercules
WASP-170 b,Transit,SuperWASP-South,2018,2024-03-04,508.528,Mass,12.285,2.3447802,0.0337,,84.87,,WASP-170,,,,135.4163,-20.720369,09h01m39.91s,-20d43m13.33s,12.613,305.603,5600.0,0.93,0.94,0.22,,-0.114,4.47,6.4338341,41.394221,3.3694929,0.274277,0.0027565072,0.0337,0.0337,0.0337,0.0337,677.23625,1299.5254,,Jovian,G,09 01 39.91,-20 43 13.33,0.76913044,2.3679022,1.458486,0.45031054,0,0,Hot,0,Pyxis,Pyx,Compass
Qatar-3 b,Transit,Qatar,2017,2024-03-04,1369.8473,Mass,12.285,2.5079204,0.03783,0.0,86.8,,Qatar-3,,,G0 V,359.15197,36.212956,23h56m36.47s,+36d12m46.64s,12.929,735.601,6007.0,1.15,1.27,-0.041,0.31,0.279,4.29,10.559625,111.50568,9.0765716,0.73883366,0.0040112497,0.03783,0.03783,0.03783,0.03783,1328.3953,1537.9122,,Jovian,G,23 56 36.47,+36 12 46.64,1.9010783,3.7227491,3.1500002,0.30833138,0,0,Hot,0,Andromeda,And,Andromeda
WASP-18 c,Transit Timing Variations,Transiting Exoplanet Survey Satellite (TESS),2019,2019-12-02,55.2,Mass,8.58,2.1558,0.035,0.015,,272.0,WASP-18,HD 10069,HIP 7562,F6 IV-V,24.354462,-45.677794,01h37m25.07s,-45d40m40.06s,9.28,123.483,6400.0,1.22,1.23,0.19,1.0,0.383,4.37,2.5364476,6.4335664,0.74983292,0.087393114,0.001228804,0.035003937,0.034475,0.035525,0.035000984,1972.0266,1697.4992,,Jovian,F,01 37 25.07,-45 40 40.06,2.4154608,4.1962733,6.3108656,0.38224761,0,0,Hot,0,Phoenix,Phe,Phoenix
KPS-1 b,Transit,Acton Sky Portal Observatory,2018,2024-03-04,346.4347,Mass,11.545,1.706291,0.0269,0.0,83.2,,KPS-1,,,K1 V,165.1672,64.963845,11h00m40.13s,+64d57m49.84s,12.97,262.706,5165.0,0.89,0.91,0.22,,-0.353,4.47,5.4778953,30.007337,2.599163,0.22513322,0.0019646325,0.0269,0.0269,0.0269,0.0269,613.04936,1267.5747,,Jovian,K,11 00 40.13,+64 57 49.84,0.44360864,1.7983067,0.68073274,0.44375963,0,0,Hot,0,Ursa Major,UMa,Big Bear
HAT-P-9 b,Transit,HATNet,2008,2024-03-04,238.05467,Mass,15.614,3.9228107,0.05287,0.084,86.44,152.0,HAT-P-9,,,F7,110.16852,37.140595,07h20m40.44s,+37d08m26.14s,12.344,455.203,6350.0,1.28,1.34,0.12,1.6,0.418,4.29,3.9046424,15.246232,0.97644628,0.062536588,0.0027651091,0.053056525,0.04842892,0.05731108,0.05291674,939.98084,1408.6502,,Jovian,F,07 20 40.44,+37 08 26.14,2.618183,4.3688161,5.8848186,0.42006338,0,0,Hot,0,Auriga,Aur,Charioteer
TOI-216.01,Transit,Transiting Exoplanet Survey Satellite (TESS),2019,2024-03-04,177.98391,Mass,10.1,34.525528,0.2069,0.0046,89.84,190.0,TOI-216,,,,73.980013,-63.26033,04h55m55.20s,-63d15m37.19s,12.324,177.945,5026.0,0.77,0.75,0.32,,-0.442,4.66,4.1978768,17.622169,1.7447692,0.17274943,0.012642706,0.20690219,0.20594826,0.20785174,0.20690055,8.4427439,434.22907,,Jovian,K,04 55 55.20,-63 15 37.19,0.36140986,1.6231691,0.51085755,0.42284516,0,0,Hot,0,Dorado,Dor,Goldfish
HATS-42 b,Transit,HATSouth,2018,2024-03-04,597.5204,Mass,15.693,2.292102,0.03689,0.229,85.1,,HATS-42,,,,108.4524,-33.437346,07h13m48.58s,-33d26m14.45s,13.682,800.377,6060.0,1.27,1.48,0.22,3.26,0.425,4.2,6.170543,38.075601,2.4262793,0.15460901,0.0022127446,0.037857274,0.02844219,0.04533781,0.037136085,2008.5357,1688.3079,,Jovian,F,07 13 48.58,-33 26 14.45,2.6607251,4.4041669,3.5663458,0.47173237,0,0,Hot,0,Puppis,Pup,Stern
HAT-P-13 c,Radial Velocity,W. M. Keck Observatory,2009,2019-01-28,4538.421,Msini,12.3,446.27,1.258,0.6616,,175.29,HAT-P-13,,,G4,129.88238,47.351908,08h39m31.77s,+47d21m06.87s,10.421,246.81,5653.0,1.32,1.76,0.46,5.0,0.346,4.13,19.208782,368.97732,29.998156,2.4388745,0.064269738,1.5333225,0.4257072,2.0902928,1.3394629,1.8692195,268.61753,,Jovian,G,08 39 31.77,+47 21 06.87,2.2181964,4.0212749,1.7953268,0.51315018,1,0,Warm,0,Ursa Major,UMa,Big Bear
K2-116 b,Transit,K2,2017,2024-03-04,0.257,M-R relationship,0.69,4.655411,0.048,0.06,89.09,-23.44,K2-116,,HIP 110620,,336.15234,-11.579318,22h24m36.56s,-11d34m45.55s,10.8,49.3855,4348.35,0.69,0.67,0.01,,-0.746,4.64,0.6102981,0.37246377,0.53980256,0.78232255,0.00032472497,0.0480864,0.04512,0.05088,0.048021626,78.037018,756.62603,854.49021,Subterran,K,22 24 36.56,-11 34 45.55,0.17947336,1.143836,0.15374905,0.40766256,0,0,Hot,0,Aquarius,Aqr,Water Carrier
TOI-257 b,Transit,Transiting Exoplanet Survey Satellite (TESS),2021,2024-03-04,43.86032,Mass,7.163,18.38818,0.1528,0.0,87.91,,TOI-257,HD 19916,,,47.517261,-50.832263,03h10m04.14s,-50d49m56.15s,7.57,76.9028,6095.0,1.41,1.87,0.175,,0.636,4.04,2.4745055,6.1231774,0.85483421,0.11934025,0.0048068381,0.1528,0.1528,0.1528,0.1528,185.2479,939.80561,,Neptunian,F,03 10 04.14,-50 49 56.15,4.3251383,5.6151811,3.9217152,0.51731789,0,0,Hot,0,Horologium,Hor,Pendulum Clock
Qatar-5 b,Transit,Qatar,2017,2024-03-04,1373.0256,Mass,12.408,2.8792319,0.04127,0.0,88.74,,Qatar-5,,,G2 V,7.0539375,42.061345,00h28m12.94s,+42d03m40.84s,12.614,367.658,5747.0,1.13,1.08,0.377,0.53,0.056,4.43,10.519338,110.65648,8.918156,0.71874242,0.004405073,0.04127,0.04127,0.04127,0.04127,667.93017,1295.0379,,Jovian,G,00 28 12.94,+42 03 40.84,1.1376273,2.8798095,2.0034574,0.33519456,0,0,Hot,0,Andromeda,And,Andromeda
WASP-10 b,Transit,SuperWASP,2008,2024-03-04,1001.12,Mass,12.106,3.0927616,0.03781,0.0473,88.49,165.6,WASP-10,,,K5 V,348.99305,31.462751,23h15m58.33s,+31d27m45.90s,12.413,140.998,4675.0,0.75,0.7,0.05,7.0,-0.64,4.63,9.0937442,82.696184,6.8310081,0.56426632,0.0039672513,0.037852296,0.036021587,0.039598413,0.037820582,160.42536,906.2241,,Jovian,K,23 15 58.33,+31 27 45.90,0.22908677,1.2923012,0.27707835,0.44953302,0,0,Hot,0,Pegasus,Peg,Winged Horse
55 Cnc c,Radial Velocity,McDonald Observatory,2004,2021-09-20,54.4738,Mass,8.51,44.3989,0.2373,0.03,89.73,2.4,55 Cnc,HD 75732,HIP 43587,G8V,133.14684,28.329815,08h52m35.24s,+28d19m47.34s,5.95084,12.5855,5172.0,0.91,0.94,0.35,10.2,-0.197,4.43,2.5300497,6.4011516,0.75219173,0.088389157,0.0090067923,0.23740679,0.230181,0.244419,0.2373267,11.287559,466.84897,,Jovian,G,08 52 35.24,+28 19 47.34,0.63533093,2.1521065,0.69409129,0.51051127,0,0,Hot,0,Cancer,Cnc,Crab
HD 219134 f,Radial Velocity,Multiple Observatories,2015,2021-09-20,7.3,Mass,1.31,22.717,0.1463,0.148,,81.0,HD 219134,HD 219134,HIP 114622,K3 V,348.3372,57.169626,23h13m20.93s,+57d10m10.65s,5.56911,6.53127,4699.0,0.81,0.78,0.11,11.0,-0.577,4.57,2.3606184,5.5725191,4.2538314,3.2471995,0.0025946679,0.14790228,0.1246476,0.1679524,0.14670348,12.511823,477.12207,538.8344,Terran,K,23 13 20.93,+57 10 10.65,0.26485001,1.3895167,0.29624476,0.49730019,0,0,Hot,0,Cassiopeia,Cas,Cassiopeia
K2-132 b,Transit,K2,2017,2024-03-04,155.7367,Mass,14.572,9.1751,0.0916,0.29,77.46,82.6,K2-132,,,,182.16627,-8.7472172,12h08m39.90s,-08d44m49.98s,12.071,609.818,4840.0,1.08,3.85,-0.01,8.5,0.943,3.3,3.2691579,10.687394,0.73341982,0.050330759,0.0034113646,0.09545178,0.065036,0.118164,0.092590622,1092.1569,1440.6756,,Jovian,K,12 08 39.90,-08 44 49.98,8.7700082,7.9958339,0.41543162,0.52432743,0,0,Hot,0,Virgo,Vir,Virgin
WASP-76 b,Transit,SuperWASP,2016,2024-03-04,292.4036,Mass,20.512,1.809886,0.033,0.0,88.0,,WASP-76,,,F7,26.632936,2.700389,01h46m31.90s,+02d42m01.40s,9.518,194.459,6250.0,1.46,1.73,0.23,5.3,0.689,4.13,3.775612,14.255246,0.69497103,0.033881193,0.0019312677,0.033,0.033,0.033,0.033,4487.1658,2084.9361,,Jovian,F,01 46 31.90,+02 42 01.40,4.8865236,5.9684803,5.1780819,0.53586464,0,0,Hot,0,Pisces,Psc,Fishes
KELT-15 b,Transit,KELT-South,2016,2024-03-04,416.3573,Mass,19.504,3.32944,0.04613,0.0,88.3,,KELT-15,,,,117.41498,-52.120447,07h49m39.59s,-52d07m13.61s,11.39,324.683,6003.0,2.06,1.78,0.05,,0.412,4.17,4.6203114,21.347277,1.0945077,0.056117087,0.002707915,0.04613,0.04613,0.04613,0.04613,1213.4813,1503.5158,,Jovian,F,07 49 39.59,-52 07 13.61,2.5822602,4.3387414,3.7994077,0.58700284,0,0,Hot,0,Carina,Car,Keel
K2-290 c,Transit,K2,2019,2023-05-03,246.00042,Mass,11.276,48.36685,0.305,0.0,89.37,90.0,K2-290,,,,234.85788,-20.198898,15h39m25.89s,-20d11m56.03s,11.114,272.909,6302.0,1.19,1.51,-0.06,4.0,0.42,4.23,4.6707905,21.816284,1.9347538,0.17158157,0.018039094,0.305,0.305,0.305,0.305,28.274851,587.42143,,Jovian,F,15 39 25.89,-20 11 56.03,2.630268,4.3788873,5.2888966,0.47762145,0,0,Hot,0,Libra,Lib,Scales
WASP-90 b,Transit,SuperWASP,2016,2024-03-04,200.2329,Mass,18.271,3.916243,0.0562,0.0,82.1,,WASP-90,,,F6,315.53195,7.0562793,21h02m07.67s,+07d03m22.61s,11.618,466.433,6430.0,1.55,1.98,0.11,4.4,0.63,4.03,3.3104464,10.959055,0.59980599,0.032828307,0.0028417736,0.0562,0.0562,0.0562,0.0562,1350.6019,1544.2996,,Jovian,F,21 02 07.67,+07 03 22.61,4.2657952,5.5765264,7.1966397,0.52996133,0,0,Hot,0,Equuleus,Equ,Little Horse
K2-284 b,Transit,K2,2018,2024-03-04,8.15,M-R relationship,2.78,4.795069,0.04771,0.078,89.0,180.2,K2-284,,,,79.140797,20.254903,05h16m33.79s,+20d15m17.65s,13.265,107.272,4140.0,0.63,0.61,0.0,0.12,-1.013,4.67,1.7122075,2.9316547,1.054552,0.37933527,0.0010329151,0.047855134,0.04398862,0.05143138,0.047746356,42.766758,650.69818,,Neptunian,K,05 16 33.79,+20 15 17.65,0.097050997,0.84113124,0.10427717,0.21537827,0,0,Hot,0,Taurus,Tau,Bull
LP 714-47 b,Transit,Transiting Exoplanet Survey Satellite (TESS),2020,2024-03-04,30.8,Mass,4.7,4.052037,0.0417,0.04,87.3,219.0,LP 714-47,,,M0.0 V,64.190221,-12.084864,04h16m45.65s,-12d05m05.51s,12.492,52.616,3950.0,0.59,0.58,0.41,,-1.125,4.64,2.5599202,6.5531915,1.3942961,0.29665874,0.001496553,0.04173336,0.040032,0.043368,0.041708344,43.15942,652.737,,Neptunian,M,04 16 45.65,-12 05 05.51,0.074989421,0.7393733,0.073608955,0.38693243,0,0,Hot,0,Eridanus,Eri,River
TrES-4 b,Transit,TrES,2007,2024-03-04,247.9074,Mass,18.046,3.55395,0.05084,0.0,82.81,80.6,TrES-4,,,F8 V,268.30434,37.21174,17h53m13.04s,+37d12m42.26s,11.932,515.98,6200.0,1.08,1.66,0.14,2.2,0.726,4.06,3.7064169,13.737526,0.76125049,0.042183891,0.0031137187,0.05084,0.05084,0.05084,0.05084,2058.6803,1715.9196,,Jovian,F,17 53 13.04,+37 12 42.26,5.3210826,6.2282174,4.2975405,0.41857171,0,0,Hot,0,Hercules,Her,Hercules
